Reference;Qty;Value;DNP;Exclude from BOM;Exclude from Board;Footprint;Link;Datasheet
BAT1_INPUT1,BAT2_INPUT1,J6,J7,J8,J9,J10,J11;8;VP026584000AG;;;;Bickel_STD_LIB:SHDR4W100P1016_2X2_2032X1830X2850P;;http://www.anytek.com.tw/UserUpFiles/20181025/d41_CP3hmn_a.pdf
C1,C2,C3,C4,C11,C12;6;1uF;;;;Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;;~
C5,C8;2;4.7nF;;;;Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;;~
C6,C7,C9,C10,C14,C42;6;47nF;;;;Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;;~
C15,C17,C18,C20;4;100nF;;;;Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;;~
C16,C19;2;0.1uF;;;;Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;;~
CurMeas_BATT1,CurMeas_BATT2;2;HLSR_16-P;;;;Bickel_STD_LIB:HLSR16P;;
D1,D3;2;1N4007;;;;Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal;;http://www.vishay.com/docs/88503/1n4001.pdf
D2,D6;2;BZX84Cxx;;;;Package_TO_SOT_SMD:SOT-23;;https://diotec.com/tl_files/diotec/files/pdf/datasheets/bzx84c2v4.pdf
D4,D5;2;SMBJ26A-E3_52;;;;Bickel_STD_LIB:DIOM5436X244N;;http://www.vishay.com/docs/88392/smbj.pdf
FUSEHOLDER1,FUSEHOLDER2;2;30A;;;;Bickel_STD_LIB:17867640001;;http://www.littelfuse.com/~/media/commercial-vehicle/datasheets/automotive-fuse-holders/mini/littelfuse-fuseholder-mini-fl1-pcb-mount.pdf
IC1,IC4;2;FDS6690A;;;;Bickel_STD_LIB:SOIC127P600X175-8N;;https://www.onsemi.com/pub/Collateral/FDS6690A-D.PDF
IC7;1;PI4ULS5V202UEX;;;;Bickel_STD_LIB:SOP65P490X110-8N;;https://www.diodes.com//assets/Datasheets/PI4ULS5V202.pdf
J1;1;EmerStop_Con1;;;;Bickel_STD_LIB:25SHB02TR;;https://app.adam-tech.com/products/download/data_sheet/196905/25sh-b-xx-tr-data-sheet.pdf
J2;1;EmerStop_Con2;;;;Bickel_STD_LIB:25SHB02TR;;https://app.adam-tech.com/products/download/data_sheet/196905/25sh-b-xx-tr-data-sheet.pdf
J3;1;640455-5;;;;Bickel_STD_LIB:HDRRA5W88P0X254_1X5_1270X775X610P;;https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=640455&DocType=Customer+Drawing&DocLang=English&DocFormat=pdf&PartCntxt=640455-5
J4,J5;2;1792863;;;;Bickel_STD_LIB:1792863;;https://www.phoenixcontact.com/online/portal/pi/pxc/product_detail_page/!ut/p/z1/5VddT_IwFP4rvBfcWdp9j0ucREDRGUDZbpa260h1X24V1F9vCzNEo_PCePFmy0nWduec9nl6DuGBIVzDMMdbvsGCFzlO5TwI7cjVL7zJuanNkTlx0c2Vfzm6ufENfaTDWxjCsGYpo4LFHhZsU1QvMBhdXqoPAhMY6GpUUvoAAx9oGk
J12;1;25SH-B-02-TR;;;;Bickel_STD_LIB:25SHB02TR;;https://app.adam-tech.com/products/download/data_sheet/196905/25sh-b-xx-tr-data-sheet.pdf
J22;1;B4B-XH-A_LF__SN_;;;;Bickel_STD_LIB:B4BXHALFSN;;https://datasheet.lcsc.com/szlcsc/JST-Sales-America-B4B-XH-A-LF-SN_C144395.pdf
J28,J37;2;B2B-XH-A__LF__SN_;;;;Bickel_STD_LIB:25SHB02TR;;https://app.adam-tech.com/products/download/data_sheet/196905/25sh-b-xx-tr-data-sheet.pdf
K1,K2;2;T9AS1D12-24;;;;Bickel_STD_LIB:T9AS1D1224;;https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=T9A&DocType=DS&DocLang=English
Q1,Q6;2;BSS138;;;;Package_TO_SOT_SMD:SOT-23;;https://www.onsemi.com/pub/Collateral/BSS138-D.PDF
Q2,Q3;2;IPD70P04P4L08ATMA2;;;;Bickel_STD_LIB:IPD70P04P4L08ATMA2;;https://www.infineon.com/dgdl/Infineon-IPD70P04P4L-08-DataSheet-v01_02-EN.pdf?fileId=db3a30432f69f146012f78225bd32dbf
R1,R3,R5,R7;4;6k8;;;;Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;;~
R2,R4,R6,R8;4;1k;;;;Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;;~
R9,R11,R14,R18;4;5k1;;;;Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;;~
R10,R12,R31,R33;4;10k;;;;Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;;~
R13,R17;2;100kOhm;;;;Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;;~
R32;1;10k;;;;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;;~
U2,U7;2;LM74700;;;;Package_TO_SOT_SMD:SOT-23-6;;http://www.ti.com/lit/gpn/LM74700-Q1
U4;1;NUCLEO-L432KC;;;;NUCLEO:MODULE_NUCLEO-L432KC;;
