"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J8,J11,J7,BAT1_INPUT1,J9,BAT2_INPUT1,J10,J6";"SHDR4W100P1016_2X2_2032X1830X2850P";8;"VP026584000AG";;;
2;"FUSEHOLDER1,FUSEHOLDER2";"17867640001";2;"30A";;;
3;"J28";"25SHB02TR";1;"25SHB02TR";;;
4;"J37";"25SHB02TR";1;"B2B-XH-A__LF__SN_";;;
5;"CurMeas_BATT2,CurMeas_BATT1";"HLSR16P";2;"HLSR_16-P";;;
6;"J4,J5";"1792863";2;"1792863";;;
7;"D1,D3";"D_DO-41_SOD81_P10.16mm_Horizontal";2;"1N4007";;;
8;"J22";"B4BXHALFSN";1;"B4B-XH-A_LF__SN_";;;
9;"J1";"25SHB02TR";1;"EmerStop_Con1";;;
10;"K2,K1";"T9AS1D1224";2;"T9AS1D12-24";;;
11;"C21,C24,C25,C13,C22,C23";"CAPPRD150W45D400H850";6;"ESY106M035AB2AA";;;
12;"J2";"25SHB02TR";1;"EmerStop_Con2";;;
13;"U4";"MODULE_NUCLEO-L432KC";1;"NUCLEO-L432KC";;;
14;"J3";"HDRRA5W88P0X254_1X5_1270X775X610P";1;"640455-5";;;
15;"J12";"25SHB02TR";1;"25SH-B-02-TR";;;
16;"R17,R13";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"100kOhm";;;
17;"C16,C19";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"0.1uF";;;
18;"R2,R4,R8,R6";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";4;"1k";;;
19;"Q3,Q2";"IPD70P04P4L08ATMA2";2;"IPD70P04P4L08ATMA2";;;
20;"C12,C11,C1,C3,C2,C4";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";6;"1uF";;;
21;"D2,D6";"SOT-23";2;"BZX84Cxx";;;
22;"R9,R18,R11,R14";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";4;"5k1";;;
23;"C14,C7,C9,C6,C10,C42";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";6;"47nF";;;
24;"C5,C8";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"4.7nF";;;
25;"C18,C15,C17,C20";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"100nF";;;
26;"D4,D5";"DIOM5436X244N";2;"SMBJ26A-E3_52";;;
27;"U7,U2";"SOT-23-6";2;"LM74700";;;
28;"R32,R33,R31,R12,R10";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";5;"10k";;;
29;"Q6,Q1";"SOT-23";2;"BSS138";;;
30;"IC1,IC4";"SOIC127P600X175-8N";2;"FDS6690A";;;
31;"R1,R5,R7,R3";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";4;"6k8";;;
32;"IC7";"SOP65P490X110-8N";1;"PI4ULS5V202UEX";;;
