Designator,Footprint,Quantity,Value,LCSC Part #
"BAT1_INPUT1, BAT2_INPUT1, J10, J11, J6, J7, J8, J9",SHDR4W100P1016_2X2_2032X1830X2850P,8,VP026584000AG,
"C1, C11, C12, C2, C3, C4",0805,6,1uF,
"C10, C14, C42, C6, C7, C9",0805,6,47nF,
"C13, C21, C22, C23, C24, C25",CAPPRD150W45D400H850,6,ESY106M035AB2AA,
"C15, C17, C18, C20",0805,4,100nF,
"C16, C19",0805,2,0.1uF,
"C5, C8",0805,2,4.7nF,
"CURMEAS_BATT1, CURMEAS_BATT2",HLSR16P,2,HLSR_16-P,
"D1, D3",D_DO-41_SOD81_P10.16mm_Horizontal,2,1N4007,
"D2, D6",SOT-23,2,BZX84Cxx,
"D4, D5",DIOM5436X244N,2,SMBJ26A-E3_52,
"FUSEHOLDER1, FUSEHOLDER2",17867640001,2,30A,
"IC1, IC4",SOIC127P600X175-8N,2,FDS6690A,
IC7,SOP65P490X110-8N,1,PI4ULS5V202UEX,
J1,25SHB02TR,1,EmerStop_Con1,
J12,25SHB02TR,1,25SH-B-02-TR,
J2,25SHB02TR,1,EmerStop_Con2,
J22,B4BXHALFSN,1,B4B-XH-A_LF__SN_,
J28,25SHB02TR,1,25SHB02TR,
J3,HDRRA5W88P0X254_1X5_1270X775X610P,1,640455-5,
J37,25SHB02TR,1,B2B-XH-A__LF__SN_,
"J4, J5",1792863,2,1792863,
"K1, K2",T9AS1D1224,2,T9AS1D12-24,
"Q1, Q6",SOT-23,2,BSS138,
"Q2, Q3",IPD70P04P4L08ATMA2,2,IPD70P04P4L08ATMA2,
"R1, R3, R5, R7",1206,4,6k8,
"R10, R12, R31, R32, R33",1206,5,10k,
"R11, R14, R18, R9",1206,4,5k1,
"R13, R17",1206,2,100kOhm,
"R2, R4, R6, R8",1206,4,1k,
"U2, U7",SOT-23-6,2,LM74700,
U4,MODULE_NUCLEO-L432KC,1,NUCLEO-L432KC,
