Designator,Mid X,Mid Y,Rotation,Layer
BAT1_INPUT1,140.42,-52.58,180.0,top
BAT2_INPUT1,161.575,-52.47,180.0,top
C1,141.0375,-59.5,0.0,bottom
C10,140.4625,-77.5,0.0,bottom
C11,149.0,-102.0,270.0,bottom
C12,222.0,-64.5,270.0,bottom
C13,136.75,-109.0,0.0,top
C14,239.0,-50.5,0.0,bottom
C15,134.0,-95.5375,270.0,bottom
C16,211.5,-103.5,180.0,bottom
C17,143.4625,-89.5,180.0,bottom
C18,161.5,-83.5375,270.0,bottom
C19,161.5,-79.0375,90.0,bottom
C2,173.0,-76.5,270.0,bottom
C20,143.4625,-85.0,180.0,bottom
C21,132.5,-102.0,0.0,top
C22,132.5,-106.5,0.0,top
C23,252.05,-81.5,0.0,top
C24,254.0,-85.5,0.0,top
C25,256.25,-81.5,0.0,top
C3,144.0,-100.0375,270.0,bottom
C4,236.0,-65.5375,270.0,bottom
C42,145.5,-77.0375,90.0,bottom
C5,150.5,-89.9625,90.0,bottom
C6,154.9625,-91.0,180.0,bottom
C7,138.5,-82.5,270.0,bottom
C8,159.5,-98.0375,270.0,bottom
C9,150.5,-76.9625,90.0,bottom
CURMEAS_BATT1,140.3225,-83.5,270.0,top
CURMEAS_BATT2,163.325,-83.5,270.0,top
D1,145.5,-105.0,0.0,top
D2,246.9375,-84.95,0.0,bottom
D3,160.5,-105.0,180.0,top
D4,135.3,-89.0,180.0,bottom
D5,156.5,-62.7,90.0,bottom
D6,226.5625,-78.45,180.0,bottom
FUSEHOLDER1,141.5,-64.8,180.0,top
FUSEHOLDER2,170.5,-64.5,0.0,top
IC1,154.0,-69.5,0.0,bottom
IC4,213.405,-92.212,90.0,bottom
IC7,248.525,-44.775,270.0,bottom
J1,253.65,-104.5,270.0,top
J10,230.42,-118.58,0.0,top
J11,208.425,-118.53,0.0,top
J12,177.0,-50.85,0.0,top
J2,253.65,-92.5,270.0,top
J22,235.5,-45.525,0.0,top
J28,259.0,-50.85,0.0,top
J3,189.0,-59.726,0.0,top
J37,248.0,-50.85,0.0,top
J4,203.25,-47.3,0.0,top
J5,216.25,-47.3,0.0,top
J6,164.425,-118.53,0.0,top
J7,142.425,-118.53,0.0,top
J8,186.425,-118.53,0.0,top
J9,252.425,-118.53,0.0,top
K1,229.55,-92.48375,0.0,top
K2,198.975,-94.66125,180.0,top
Q1,256.5625,-77.55,180.0,bottom
Q2,246.22,-102.22,180.0,bottom
Q3,207.28,-77.72,270.0,bottom
Q6,242.5625,-77.55,180.0,bottom
R1,149.5,-58.05,270.0,bottom
R10,155.0,-100.5,270.0,bottom
R11,211.0,-64.0,180.0,bottom
R12,228.5,-65.0,270.0,bottom
R13,246.5,-91.5,0.0,bottom
R14,249.45,-77.5,0.0,bottom
R17,219.0,-77.95,90.0,bottom
R18,234.05,-77.5,0.0,bottom
R2,151.05,-63.5,180.0,bottom
R3,178.0,-70.5,270.0,bottom
R31,234.0,-50.05,90.0,bottom
R32,244.0,-45.0,270.0,bottom
R33,228.0,-50.05,90.0,bottom
R4,178.0,-76.05,270.0,bottom
R5,134.0,-99.5,180.0,bottom
R6,138.5,-99.55,270.0,bottom
R7,164.0,-99.5,270.0,bottom
R8,160.5,-105.0,0.0,bottom
R9,151.0,-97.5,270.0,bottom
U2,155.05,-76.1375,270.0,bottom
U4,238.42,-65.12,90.0,top
U7,211.55,-98.6375,270.0,bottom
