"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C21,C28","2","C5750X7S2A156M250KB","","","","Bickel_STD_LIB:C5750_Commercial","https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_midvoltage_en.pdf"
"C22,C29,C38,C40","4","100nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C23,C30","2","15nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C24,C31","2","2.2uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C25,C32","2","470nF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C26,C33,C34,C262","4","100pF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C27,C35","2","EEH-ZC1E560P","","","","Bickel_STD_LIB:EEHZA1E101XP","http://industrial.panasonic.com/cdbs/www-data/pdf/RDD0000/ABA0000C1234.pdf"
"C36","1","10uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C37","1","22uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C39","1","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"D7","1","1N4007","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"IC2","1","FDS6690A","","","","Bickel_STD_LIB:SOIC127P600X175-8N","https://www.onsemi.com/pub/Collateral/FDS6690A-D.PDF"
"J3","1","640455-5","","","","Bickel_STD_LIB:HDRRA5W88P0X254_1X5_1270X775X610P","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=640455&DocType=Customer+Drawing&DocLang=English&DocFormat=pdf&PartCntxt=640455-5"
"J4","1","1792863","","","","Bickel_STD_LIB:1792863","https://www.phoenixcontact.com/online/portal/pi/pxc/product_detail_page/!ut/p/z1/5VddT_IwFP4rvBfcWdp9j0ucREDRGUDZbpa260h1X24V1F9vCzNEo_PCePFmy0nWduec9nl6DuGBIVzDMMdbvsGCFzlO5TwI7cjVL7zJuanNkTlx0c2Vfzm6ufENfaTDWxjCsGYpo4LFHhZsU1QvMBhdXqoPAhMY6GpUUvoAAx9oGk"
"J8,J10","2","USB_C_Receptacle_PowerOnly_6P","","","","Bickel_STD_LIB:UJCHGSMT2P6TR","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J15,J16,J26,J27","4","1755736","","","","Bickel_STD_LIB:1792863","https://www.phoenixcontact.com/online/portal/pi/pxc/product_detail_page/!ut/p/z1/5VddT_IwFP4rvBfcWdp9j0ucREDRGUDZbpa260h1X24V1F9vCzNEo_PCePFmy0nWduec9nl6DuGBIVzDMMdbvsGCFzlO5TwI7cjVL7zJuanNkTlx0c2Vfzm6ufENfaTDWxjCsGYpo4LFHhZsU1QvMBhdXqoPAhMY6GpUUvoAAx9oGk"
"J21,J23","2","B2B-XH-A__LF__SN_","","","","Bickel_STD_LIB:1792863","https://www.phoenixcontact.com/online/portal/pi/pxc/product_detail_page/!ut/p/z1/5VddT_IwFP4rvBfcWdp9j0ucREDRGUDZbpa260h1X24V1F9vCzNEo_PCePFmy0nWduec9nl6DuGBIVzDMMdbvsGCFzlO5TwI7cjVL7zJuanNkTlx0c2Vfzm6ufENfaTDWxjCsGYpo4LFHhZsU1QvMBhdXqoPAhMY6GpUUvoAAx9oGk"
"L1,L2","2","7443641000B","","","","Bickel_STD_LIB:7443641000B","https://www.we-online.com/catalog/datasheet/7443641000B.pdf"
"Q4,Q7","2","CSD18504Q5A","","","","Package_TO_SOT_SMD:TDSON-8-1","http://www.ti.com/lit/gpn/csd18504q5a"
"Q5,Q8","2","CSD18533Q5A","","","","Package_TO_SOT_SMD:TDSON-8-1","http://www.ti.com/lit/gpn/csd18533q5a"
"R19,R23","2","348k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R20,R24","2","604R","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R21,R25","2","191k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R22,R26","2","10k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R27,R28,R29,R30","4","10k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"U3,U8","2","LM3150MH","","","","Package_SO:Texas_HTSSOP-14-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask3.155x3.255mm_ThermalVias","http://www.ti.com/lit/ds/symlink/lm3150.pdf"
"U9","1","RPM5.0-6.0","","","","Converter_DCDC:Converter_DCDC_RECOM_RPMx.x-x.0","https://www.recom-power.com/pdf/Innoline/RPM-6.0.pdf"
"U10","1","LM74700","","","","Package_TO_SOT_SMD:SOT-23-6","http://www.ti.com/lit/gpn/LM74700-Q1"
"U12","1","ALQ1F24RS","","","","Bickel_STD_LIB:ALQ112S","https://industry.panasonic.com/ac/cdn/e/control/relay/power/catalog/mech_eng_lq.pdf"
