Designator,Mid X,Mid Y,Rotation,Layer
C1,134.0,-67.5,180.0,top
C2,187.5,-94.5,0.0,top
C21,133.5,-69.0,180.0,bottom
C22,213.5,-99.4625,270.0,bottom
C23,229.5375,-70.0,180.0,bottom
C24,221.0,-64.5,90.0,bottom
C25,219.0,-91.0,0.0,bottom
C26,231.0,-59.5,180.0,bottom
C262,231.0,-55.0,180.0,bottom
C27,224.0,-56.0,90.0,bottom
C28,133.5,-61.5,180.0,bottom
C29,209.0,-99.4625,270.0,bottom
C30,135.5375,-86.0,180.0,bottom
C31,130.4625,-95.0,0.0,bottom
C32,142.0625,-100.5,180.0,bottom
C33,125.9625,-82.5,0.0,bottom
C34,125.7275,-87.51,0.0,bottom
C35,146.5,-79.5,90.0,bottom
C36,133.9625,-100.0,0.0,bottom
C37,187.25,-107.2,270.0,bottom
C38,194.0375,-91.0,180.0,bottom
C39,172.9625,-94.0,0.0,bottom
C40,180.0375,-108.0,180.0,bottom
D7,139.5,-79.58,270.0,top
IC2,186.75,-100.7,90.0,bottom
J10,179.0,-53.9975,180.0,top
J15,206.5,-54.5,180.0,top
J16,192.5,-54.5,180.0,top
J21,161.25,-103.7,180.0,top
J23,174.25,-103.7,180.0,top
J26,134.25,-103.7,180.0,top
J27,147.75,-103.7,180.0,top
J3,149.0,-67.726,0.0,top
J4,133.75,-54.4,180.0,top
J8,164.0,-53.9975,180.0,top
L1,204.0,-76.945,180.0,bottom
L2,176.5,-77.0,90.0,bottom
Q4,211.6,-92.405,270.0,bottom
Q5,127.65,-76.3,0.0,bottom
Q7,149.3,-61.35,270.0,bottom
Q8,162.0,-97.0,0.0,bottom
R19,225.45,-64.5,180.0,bottom
R20,219.45,-96.5,0.0,bottom
R21,230.5,-65.05,270.0,bottom
R22,234.0,-69.5,270.0,bottom
R23,203.55,-91.0,0.0,bottom
R24,146.5,-95.05,270.0,bottom
R25,129.0,-89.05,270.0,bottom
R26,126.5,-93.0,270.0,bottom
R27,166.0,-59.5,0.0,bottom
R28,164.0,-51.5,180.0,bottom
R29,178.5,-59.5,180.0,bottom
R30,179.0,-52.5,0.0,bottom
U10,174.05,-98.8625,90.0,bottom
U12,127.81,-82.85,90.0,top
U3,137.3625,-93.1,180.0,bottom
U8,223.2,-79.0,270.0,bottom
U9,198.25,-101.2,0.0,bottom
