"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C8,C9,C36,C7";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"10uF";;;
2;"D7";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"1N4007";;;
3;"J23,J26,J16,J4,J21,J27,J15";"1792863";7;"1792863";;;
4;"J10,J8";"UJCHGSMT2P6TR";2;"USB_C_Receptacle_PowerOnly_6P";;;
5;"L2";"7443641000B";1;"7443641000B";;;
6;"C11,C6,C39,C29,C38,C40";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";6;"100nF";;;
7;"U12";"ALQ112S";1;"ALQ1F24RS";;;
8;"R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"40.2k";;;
9;"C13";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"24p";;;
10;"J3";"HDRRA5W88P0X254_1X5_1270X775X610P";1;"640455-5";;;
11;"R1";"R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal";1;"5mR";;;
12;"IC3";"IAUC120N06S5N011ATMA1";1;"IAUCN04S7L028ATMA1";;;
13;"R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"9.53k";;;
14;"R24";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"604R";;;
15;"R25";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"191k";;;
16;"C12";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"680pF";;;
17;"R27,R26,R28,R29,R30";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";5;"10k";;;
18;"C35,C1,C2";"EEHZA1E101XP";3;"EEH-ZC1E560P";;;
19;"U10";"SOT-23-6";1;"LM74700";;;
20;"R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"6.04k";;;
21;"C37";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"22uF";;;
22;"C30";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"15nF";;;
23;"C34,C33";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"100pF";;;
24;"Q1";"CSD18514Q5A";1;"CSD18514Q5A";;;
25;"R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"47.5k";;;
26;"C3,C5,C4";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"4.7uF";;;
27;"Q8";"TDSON-8-1";1;"CSD18533Q5A";;;
28;"U3";"Texas_HTSSOP-14-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask3.155x3.255mm_ThermalVias";1;"LM3150MH";;;
29;"C31,C10";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"2.2uF";;;
30;"Q7";"TDSON-8-1";1;"CSD18504Q5A";;;
31;"L1";"XAL6030102MEC";1;"XAL6030-102MEC";;;
32;"R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100k";;;
33;"IC2";"SOIC127P600X175-8N";1;"FDS6690A";;;
34;"R23";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"348k";;;
35;"U9";"Converter_DCDC_RECOM_RPMx.x-x.0";1;"RPM5.0-6.0";;;
36;"C32";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"470nF";;;
37;"C28";"C5750_Commercial";1;"C5750X7S2A156M250KB";;;
38;"IC1";"LM5148RGYR";1;"LM5148RGYR";;;
