Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C35",EEHZA1E101XP,3,EEH-ZC1E560P,
"C10, C31",0805,2,2.2uF,
"C11, C29, C38, C39, C40, C6",0805,6,100nF,
C12,0805,1,680pF,
C13,0805,1,24p,
C28,C5750_Commercial,1,C5750X7S2A156M250KB,
"C3, C4, C5",0805,3,4.7uF,
C30,0805,1,15nF,
C32,1206,1,470nF,
"C33, C34",0805,2,100pF,
"C36, C7, C8, C9",0805,4,10uF,
C37,0805,1,22uF,
D7,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N4007,
IC1,LM5148RGYR,1,LM5148RGYR,
IC2,SOIC127P600X175-8N,1,FDS6690A,
IC3,IAUC120N06S5N011ATMA1,1,IAUCN04S7L028ATMA1,
"J10, J8",UJCHGSMT2P6TR,2,USB_C_Receptacle_PowerOnly_6P,
"J15, J16, J21, J23, J26, J27, J4",1792863,7,1792863,
J3,HDRRA5W88P0X254_1X5_1270X775X610P,1,640455-5,
L1,XAL6030102MEC,1,XAL6030-102MEC,
L2,7443641000B,1,7443641000B,
Q1,CSD18514Q5A,1,CSD18514Q5A,
Q7,TDSON-8-1,1,CSD18504Q5A,
Q8,TDSON-8-1,1,CSD18533Q5A,
R1,R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal,1,5mR,
R2,0805,1,100k,
R23,1206,1,348k,
R24,1206,1,604R,
R25,1206,1,191k,
"R26, R27, R28, R29, R30",1206,5,10k,
R3,0805,1,47.5k,
R4,0805,1,40.2k,
R5,0805,1,9.53k,
R6,0805,1,6.04k,
U10,SOT-23-6,1,LM74700,
U12,ALQ112S,1,ALQ1F24RS,
U3,Texas_HTSSOP-14-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask3.155x3.255mm_ThermalVias,1,LM3150MH,
U9,Converter_DCDC_RECOM_RPMx.x-x.0,1,RPM5.0-6.0,
