Designator,Mid X,Mid Y,Rotation,Layer
C1,136.0,-52.0,270.0,bottom
C10,132.5,-78.5,0.0,bottom
C11,135.0375,-78.0,0.0,top
C12,146.0375,-79.0,180.0,bottom
C13,140.0,-84.0375,270.0,top
C2,192.5,-98.5,90.0,bottom
C28,143.0,-95.625,90.0,bottom
C29,148.9625,-91.0,180.0,bottom
C3,141.4625,-62.0,180.0,bottom
C30,137.0,-100.5375,270.0,bottom
C31,143.0,-85.0375,90.0,bottom
C32,126.5,-87.5,90.0,bottom
C33,148.0,-86.5375,90.0,bottom
C34,153.0,-86.5375,90.0,bottom
C35,141.0,-112.5,0.0,bottom
C36,216.5,-65.0,270.0,bottom
C37,208.355,-88.1825,180.0,bottom
C38,208.3175,-83.1825,180.0,bottom
C39,212.8175,-82.6825,90.0,bottom
C4,141.4625,-59.5,180.0,bottom
C40,208.5,-71.5,90.0,bottom
C5,135.9625,-60.0,0.0,bottom
C6,139.5375,-77.5,0.0,top
C7,127.9625,-78.5,180.0,bottom
C8,131.0,-76.4625,270.0,top
C9,128.0,-81.0,180.0,bottom
D7,167.08,-68.5,0.0,top
IC1,135.25,-73.85,90.0,bottom
IC2,220.0,-79.5,180.0,bottom
IC3,134.801,-66.905,270.0,top
J10,198.18,-112.0025,0.0,top
J15,127.2,-111.25,270.0,top
J16,127.0,-52.5,270.0,top
J21,211.0,-111.5,0.0,top
J23,223.5,-111.5,0.0,top
J26,196.75,-49.3,0.0,top
J27,209.5,-49.3,0.0,top
J3,160.5,-61.726,0.0,top
J4,147.5,-49.5,0.0,top
J8,185.5,-112.0025,0.0,top
L1,134.98,-66.5,0.0,bottom
L2,167.355,-101.425,270.0,top
Q1,142.995,-72.743,270.0,bottom
Q7,134.595,-86.5,90.0,bottom
Q8,125.5,-94.915,180.0,bottom
R1,127.0,-68.12,270.0,top
R2,128.5,-72.0,270.0,bottom
R23,148.0,-95.95,270.0,bottom
R24,126.55,-101.5,0.0,bottom
R25,142.55,-88.5,0.0,bottom
R26,137.0,-105.0,0.0,bottom
R27,185.95,-106.5,0.0,bottom
R28,185.55,-113.5,0.0,bottom
R29,198.5,-106.5,0.0,bottom
R3,135.5,-81.0,0.0,bottom
R30,198.55,-113.5,0.0,bottom
R4,148.5,-73.0,180.0,top
R5,148.5,-76.0,180.0,top
R6,143.0,-81.0,0.0,bottom
U10,209.3675,-77.545,270.0,bottom
U12,178.89,-49.5,0.0,top
U3,134.5,-93.915,0.0,bottom
U9,226.21,-68.5,270.0,bottom
