Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C27, C35",EEHZA1E101XP,4,EEH-ZC1E560P,
"C21, C28",C5750_Commercial,2,C5750X7S2A156M250KB,
"C22, C29, C38, C39, C40",0805,5,100nF,
"C23, C30",0805,2,15nF,
"C24, C31",0805,2,2.2uF,
"C25, C32",1206,2,470nF,
"C26, C262, C33, C34",0805,4,100pF,
C36,0805,1,10uF,
C37,0805,1,22uF,
D7,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N4007,
IC2,SOIC127P600X175-8N,1,FDS6690A,
"J10, J8",UJCHGSMT2P6TR,2,USB_C_Receptacle_PowerOnly_6P,
"J15, J16, J21, J23, J26, J27, J4",1792863,7,1792863,
J3,HDRRA5W88P0X254_1X5_1270X775X610P,1,640455-5,
"L1, L2",7443641000B,2,7443641000B,
"Q4, Q7",TDSON-8-1,2,CSD18504Q5A,
"Q5, Q8",TDSON-8-1,2,CSD18533Q5A,
"R19, R23",1206,2,348k,
"R20, R24",1206,2,604R,
"R21, R25",1206,2,191k,
"R22, R26, R27, R28, R29, R30",1206,6,10k,
U10,SOT-23-6,1,LM74700,
U12,ALQ112S,1,ALQ1F24RS,
"U3, U8",Texas_HTSSOP-14-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask3.155x3.255mm_ThermalVias,2,LM3150MH,
U9,Converter_DCDC_RECOM_RPMx.x-x.0,1,RPM5.0-6.0,
